occ_soc,bls_occ_title,occ_acs,acs_occ_title,tot_emp,dup_acs_dum
11-1011,Chief executives,10,Chief executives and legislators,211230,1
11-1031,Legislators,10,Chief executives and legislators,32460,1
11-2032,Public relations managers,60,Public relations and fundraising managers,72760,1
11-2033,Fundraising managers,60,Public relations and fundraising managers,31810,1
11-9031,"Education and childcare administrators, preschool and daycare",230,Education and childcare administrators,64090,1
11-9032,"Education administrators, kindergarten through secondary",230,Education and childcare administrators,302580,1
11-9033,"Education administrators, postsecondary",230,Education and childcare administrators,167270,1
11-9039,"Education administrators, all other",230,Education and childcare administrators,50690,1
11-9071,Gambling managers,335,Entertainment and recreation managers,4590,1
11-9072,"Entertainment and recreation managers, except gambling",335,Entertainment and recreation managers,29690,1
11-9131,Postmasters and mail superintendents,440,Other managers,13810,1
11-9171,Funeral home managers,440,Other managers,14200,1
11-9179,"Personal service managers, all other",440,Other managers,11170,1
11-9199,"Managers, all other",440,Other managers,589750,1
13-1031,"Claims adjusters, examiners, and investigators",540,"Claims adjusters, appraisers, examiners, and investigators",293780,1
13-1032,"Insurance appraisers, auto damage",540,"Claims adjusters, appraisers, examiners, and investigators",8670,1
13-1071,Human resources specialists,630,Human resources workers,895970,1
13-1074,Farm labor contractors,630,Human resources workers,460,1
13-1075,Labor relations specialists,630,Human resources workers,62800,1
13-2054,Financial risk specialists,960,Other financial specialists,55290,1
13-2071,Credit counselors,910,Credit counselors and loan officers,27950,1
13-2072,Loan officers,910,Credit counselors and loan officers,321090,1
13-2099,"Financial specialists, all other",960,Other financial specialists,122730,1
15-1231,Computer network support specialists,1050,Computer support specialists,158720,1
15-1232,Computer user support specialists,1050,Computer support specialists,689700,1
15-1242,Database administrators,1065,Database administrators and architects,76140,1
15-1243,Database architects,1065,Database administrators and architects,59920,1
15-2021,Mathematicians,1240,Other mathematical science occupations,2220,1
15-2041,Statisticians,1240,Other mathematical science occupations,29950,1
15-2051,Data scientists,1240,Other mathematical science occupations,192710,1
15-2099,"Mathematical science occupations, all other",1240,Other mathematical science occupations,4320,1
17-1021,Cartographers and photogrammetrists,1310,"Surveyors, cartographers, and photogrammetrists",12330,1
17-1022,Surveyors,1310,"Surveyors, cartographers, and photogrammetrists",50740,1
17-2021,Agricultural engineers,1340,Biomedical and agricultural engineers,1860,1
17-2031,Bioengineers and biomedical engineers,1340,Biomedical and agricultural engineers,19320,1
17-2071,Electrical engineers,1410,Electrical and electronics engineers,185430,1
17-2072,"Electronics engineers, except computer",1410,Electrical and electronics engineers,96410,1
17-2111,"Health and safety engineers, except mining safety engineers and inspectors",1430,"Industrial engineers, including health and safety",22510,1
17-2112,Industrial engineers,1430,"Industrial engineers, including health and safety",332870,1
17-2151,"Mining and geological engineers, including mining safety engineers",1520,"Petroleum, mining and geological engineers, including mining safety engineers",7040,1
17-2161,Nuclear engineers,1530,Other engineers,12710,1
17-2171,Petroleum engineers,1520,"Petroleum, mining and geological engineers, including mining safety engineers",20390,1
17-2199,"Engineers, all other",1530,Other engineers,150990,1
17-3012,Electrical and electronics drafters,1545,Other drafters,20680,1
17-3013,Mechanical drafters,1545,Other drafters,44850,1
17-3019,"Drafters, all other",1545,Other drafters,16580,1
17-3021,Aerospace engineering and operations technologists and technicians,1555,"Other engineering technologists and technicians, except drafters",10640,1
17-3022,Civil engineering technologists and technicians,1555,"Other engineering technologists and technicians, except drafters",63560,1
17-3024,Electro-mechanical and mechatronics technologists and technicians,1555,"Other engineering technologists and technicians, except drafters",15360,1
17-3025,Environmental engineering technologists and technicians,1555,"Other engineering technologists and technicians, except drafters",13780,1
17-3026,Industrial engineering technologists and technicians,1555,"Other engineering technologists and technicians, except drafters",73020,1
17-3027,Mechanical engineering technologists and technicians,1555,"Other engineering technologists and technicians, except drafters",38930,1
17-3028,Calibration technologists and technicians,1555,"Other engineering technologists and technicians, except drafters",13220,1
17-3029,"Engineering technologists and technicians, except drafters, all other",1555,"Other engineering technologists and technicians, except drafters",66200,1
19-1011,Animal scientists,1600,Agricultural and food scientists,2460,1
19-1012,Food scientists and technologists,1600,Agricultural and food scientists,14100,1
19-1013,Soil and plant scientists,1600,Agricultural and food scientists,15800,1
19-1021,Biochemists and biophysicists,1610,Biological scientists,33180,1
19-1022,Microbiologists,1610,Biological scientists,21540,1
19-1023,Zoologists and wildlife biologists,1610,Biological scientists,17100,1
19-1029,"Biological scientists, all other",1610,Biological scientists,61220,1
